month,region,mean,std,max
1,고흥·녹동항,0.007076666666666667,0.02268788305860993,0.19366
1,당진·삽교호,0.0017651612903225805,0.004669178685086691,0.02812
1,부산·광안리,2.6524639784946236,10.397615224491764,100.0
2,고흥·녹동항,0.0048771764705882355,0.0064505720698253746,0.03387
2,당진·삽교호,0.0012249411764705884,0.0034052765860427513,0.01789
2,부산·광안리,1.1493205882352941,1.446807472772341,11.72966
3,고흥·녹동항,0.008010215053763441,0.007843053971854528,0.02748
3,당진·삽교호,0.002686021505376344,0.005856016441639306,0.03387
3,부산·광안리,0.985040430107527,1.087193610627354,5.44938
4,고흥·녹동항,0.112209,0.18184405353105923,0.99323
4,당진·삽교호,0.04779911111111111,0.13738271535332486,1.11211
4,부산·광안리,1.0724806666666666,1.06274627244362,4.59612
5,고흥·녹동항,0.1289862365591398,0.1839302383343371,1.44192
5,당진·삽교호,0.17669075268817205,0.4326066851787936,3.44757
5,부산·광안리,1.3391706451612904,1.5491869056139305,7.81615
6,고흥·녹동항,0.09815466666666665,0.12140208587327496,0.79446
6,당진·삽교호,0.08342066666666667,0.2478499914015589,1.75062
6,부산·광안리,1.1814558888888889,1.1679160185627617,5.61045
7,고흥·녹동항,0.10137913978494624,0.11041310077687808,0.51131
7,당진·삽교호,0.009000430107526882,0.02033513108722774,0.12974
7,부산·광안리,1.616245376344086,1.6940216158819015,8.90398
8,고흥·녹동항,0.12371494623655914,0.13571712509788156,0.69731
8,당진·삽교호,0.05551354838709677,0.1740796182888061,1.59723
8,부산·광안리,1.8267035483870968,1.7404909863808953,9.11746
9,고흥·녹동항,0.13515433333333335,0.1904945904510771,0.94338
9,당진·삽교호,0.2156243333333333,0.315118266427174,1.82413
9,부산·광안리,1.4713943333333332,1.7217220517007008,11.03235
10,고흥·녹동항,0.08135322580645162,0.07961534300549487,0.40138
10,당진·삽교호,0.2289983870967742,0.49221445358569815,2.71957
10,부산·광안리,1.231615,1.3093425091741002,5.15409
11,고흥·녹동항,0.06795783333333333,0.07835463020707203,0.31701
11,당진·삽교호,0.17411233333333334,0.3622728861346949,1.76532
11,부산·광안리,0.8683431666666667,0.9310573770345629,4.12123
12,고흥·녹동항,0.009737741935483872,0.00955447683572691,0.05304
12,당진·삽교호,0.01935806451612903,0.03432665636464025,0.17704
12,부산·광안리,1.8208375806451613,3.71489647257539,28.24272
